"Var1"
2
2
8
14
17
18
20
20
21
23
23
25
30
32
32
33
34
34
35
35
37
39
39
39
41
42
44
46
46
47
48
48
49
50
50
51
51
52
52
52
53
53
53
53
54
54
54
56
57
62
68
69
72
73
74
74
75
78
79
79
79
81
81
82
82
83
86
87
87
87
87
87
88
88
89
93
93
93
94
94
98
100
104
109
112
123
123
130
132
148
160
164
183
194
258
18
7
8
35
0
0
24
17
35
14
49
48
71
74
1
26
51
41
47
47
67
43
36
27
26
69
73
84
81
74
26
89
59
74
82
80
105
58
81
103
81
74
2
20
50
160
160
72
117
53
45
89
72
92
93
98
99
36
98
150
60
91
140
121
103
109
113
161
55
17
17
75
41
1
33
23
114
113
207
72
157
126
203
101
106
258
82
120
161
53
61
60
73
93
78
129
125
85
27
75
40
29
12
13
69
97
109
29
39
32
42
30
6
36
32
18
29
2
16
76
50
44
44
44
51
34
59
59
67
42
75
74
84
73
92
13
56
68
149
96
0
138
53
167
113
112
65
53
29
86
69
131
54
54
76
74
88
57
92
66
32
70
83
44
81
6
82
144
35
132
81
38
262
47
80
132
66
56
82
155
57
37
119
78
165
154
118
44
73
136
6
105
53
28
69
88
11
0
44
60
69
114
4
38
180
3
1
36
34
60
24
58
27
50
48
41
0
32
3
46
112
79
159
44
63
66
103
17
33
207
131
67
52
110
54
57
89
51
149
83
47
74
42
96
133
2
90
189
193
76
69
280
157
248
14
18
77
50
111
45
87
146
278
170
21
40
24
19
59
36
21
66
75
73
70
38
119
52
31
34
130
56
58
66
136
67
6
45
70
66
47
67
146
71
42
34
136
166
71
25
55
56
105
36
96
178
54
177
57
62
7
120
77
84
39
90
295
0
57
40
50
264
53
0
27
70
77
49
3
51
18
68
79
41
19
36
73
153
124
41
61
130
61
115
66
46
47
4
43
57
72
72
79
77
73
73
69
66
51
52
13
15
192
70
88
16
37
67
77
145
110
187
144
109
40
46
115
31
95
37
92
50
72
11
152
173
30
140
75
180
118
81
153
368
55
4
141
76
98
38
82
98
308
0
186
0
56
49
3
19
75
86
93
89
47
76
55
35
52
8
68
35
67
14
4
50
129
3
51
61
72
1
68
83
46
10
139
151
193
86
141
59
87
52
102
91
4
44
48
60
52
94
85
60
63
67
78
205
68
206
251
148
79
84
10
152
9
31
35
59
50
85
12
4
117
140
124
20
153
188
0
88
112
1
1
2
54
6
44
28
48
54
18
75
53
65
74
141
15
26
45
96
50
65
73
0
47
48
171
170
138
80
82
203
223
79
53
96
101
110
133
151
1
40
52
39
56
58
62
59
48
106
88
116
13
143
10
10
34
5
62
12
9
36
59
73
49
28
49
34
28
102
91
61
9
30
35
127
88
120
70
92
46
56
56
80
87
45
93
49
52
37
123
54
60
61
45
37
36
48
61
49
5
234
62
39
22
59
47
145
69
25
172
7
80
7
19
26
209
36
199
129
74
130
63
75
73
121
76
49
35
71
125
190
259
158
180
212
65
93
124
82
80
95
137
16
11
170
22
151
165
214
59
100
46
48
94
53
23
68
65
204
36
28
4
62
38
40
186
79
61
41
132
89
50
60
77
50
128
86
97
95
183
42
55
37
65
26
78
61
11
16
98
69
85
202
56
64
72
148
172
57
47
166
222
275
89
41
107
92
12
160
77
57
49
89
37
46
26
165
54
63
74
82
119
54
14
279
66
100
5
38
17
0
51
88
85
29
29
63
110
3
65
70
143
158
150
278
70
39
136
167
185
89
47
62
65
72
18
269
1
86
74
77
78
112
148
51
60
26
55
94
66
109
146
155
160
66
97
103
74
74
46
56
107
117
77
51
34
30
1
13
66
51
28
62
68
59
34
38
23
105
12
41
52
94
35
213
152
45
36
48
43
43
33
31
40
131
35
108
127
122
121
81
126
175
